N°;CODIGO INTERNO;DESCRIPCION;MARCA;MODELO ;SERIAL;COLOR;CANTIDAD EXISTENTE;UBICACIÓN;ESTADO DE USO, CONSERVACION Y MANTTO.;OBSERVACION;FECHA ADQUISICION;VALOR  S/LIBRO O FACTURA;UBICACIÓN2;SITIO  ;RESPONSABLE;
27;BNS-20000-0027-1;MAQUINA DE ABDOMINALES;;;;GRIS;4;GIMNASIO;REPARABLE;;;;;;;
28;BNS-20000-0028-1;CAMINADORA;;;;;1;GIMNASIO;REPARABLE;;;;;;;
29;BNS-17000-0015-1;CARRO DE PERROS CALIENTES;;;;;1;GIMNASIO;REPARABLE;;21/2/2013;5,751;;;;
30;BNS-13000-0009-1;VENTILADOR DE PARED;;;;;2;GIMNASIO;DAÑADO;;;;;;;
31;BNS-20000-0029-1;AGARRE ANCHO ;;;;;1;GIMNASIO;OPERATIVO;;;;;;;
32;BNS-20000-0030-1;AGARRE CORTO;;;;;1;GIMNASIO;DAÑADO;¡DESAPARECIDA!;;;;;;
33;BNS-13000-0003-1;ESTANTE DE MADERA 5 TRAMO;;;;;2;GIMNASIO;OPERATIVO;;;;;;;
34;BNS-23000-0009-1;MESA DE VIDRIO;;;;;;LAVANDERIA;OPERATIVO;;;;;;;
35;BNS-15000-0003-1;ENFRIANDOR 3 TAPAS ;TECOVEN;;;GRIS;1;LAVANDERIA;OPERATIVO;;;;;;;
36;BNS-16000-0001-1;TERMO AMARILLO 38LTS;;;;AMARILLO;1;LAVANDERIA;OPERATIVO;;;;;;;
37;BNS-15000-0013-1;LAVADORA DE 12 KG;SENEVIEW;;LSA-12-SV-500;BLANCO Y AZUL ;1;LAVANDERIA;OPERATIVO;;14/2/2022;1,206,91;;;;
38;BNS-16000-0003-1;OLLA MEDIANA ;;;;NEGRO;3;LAVANDERIA;REPARABLE;;;;;;;
39;BNS-16000-0003-2;OLLA GRANDE;;;;NEGRO;1;LAVANDERIA;REPARABLE;;;;;;;
40;BNS-18000-0029-1;BATERIA FULGOR 1100 AMP;;;;NEGRO;2;LAVANDERIA;DAÑADO;;;;;;;
41;BNS-17000-0016-1;MESA DE MARMOL;;;;;12;TASCA;OPERATIVO;10 MESAS BUENAS Y 2 MALAS QUE ESTAN UBICADAS EN DEPOSITO ;;;;;;
42;BNS-15000-0019-1;DECODIFICADOR DE ANTENA ;SIMPLE TV;;;NEGRO;1;TASCA;OPERATIVO;;;;;;;
43;BNS-15000-0004-1;AIRE ACONDICIONADO 3T 241P;GREEN;MUB-366R;;BLANCO;1;TASCA;OPERATIVO;;;;;;;
44;BNS-17000-0017-1;PIZARRA PROYECTOR ;;;;BLANCO;1;TASCA;REPARABLE;;17/2/2011;1160,71;;;;
45;BNS-14000-0001-1;CUADRO DE MADERA REF. 4 CABALLOS;;;;;1;TASCA;OPERATIVO;;;;;;;
46;BNS-14000-0001-2;CUADRO DE MADERA REF. GARCEROS ;;;;;1;TASCA;OPERATIVO;;;;;;;
47;BNS-14000-0001-3;CUADRO DE MADERA REF. BODEGON BOTELLON, BARRIL Y UVAS;;;;;1;TASCA;OPERATIVO;;;;;;;
48;BNS-14000-0001-4;CUADRO DE MADERA REF. PESCADOR CON VACAS;;;;;1;TASCA;OPERATIVO;;;;;;;
49;BNS-14000-0001-5;CUADRO DE MADERA REF. MUJERES CON TINAJAS;;;;;1;TASCA;OPERATIVO;;;;;;;
50;BNS-15000-0002-1;CONGELADOR 1 TAPA 425 LTS;TECOVEN;;;;1;TASCA;OPERATIVO;;;;;;;
51;BNS-13000-0018-1;"TELEVISOR HD 32""";PHILIPS;328E3320L28;VA1B-072102765;;1;TASCA;OPERATIVO;;7/7/2011;8026,79;;;;
